item_id,order_id,product_id,product_name,quantity,unit_price,line_total
ITEM-0044,ORD-028,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0045,ORD-029,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0046,ORD-030,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0047,ORD-030,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0048,ORD-031,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0049,ORD-032,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0050,ORD-033,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0051,ORD-033,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0052,ORD-034,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0053,ORD-035,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0054,ORD-035,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0055,ORD-036,PROD-ADD,Add-on: Advanced Analytics,1,950.00,950.00
ITEM-0056,ORD-037,PROD-ADD,Add-on: Advanced Analytics,1,4200.00,4200.00
ITEM-0057,ORD-038,PROD-ADD,Add-on: Advanced Analytics,1,950.00,950.00
ITEM-0058,ORD-039,PROD-ADD,Add-on: Advanced Analytics,1,8400.00,8400.00
ITEM-0059,ORD-040,PROD-ADD,Add-on: Advanced Analytics,1,950.00,950.00
ITEM-0060,ORD-041,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0061,ORD-042,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0062,ORD-043,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0063,ORD-044,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0064,ORD-045,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0065,ORD-046,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0066,ORD-047,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0067,ORD-048,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0068,ORD-049,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0069,ORD-050,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0070,ORD-051,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0071,ORD-052,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0072,ORD-053,PROD-ADD,Add-on: Advanced Analytics,1,950.00,950.00
ITEM-0073,ORD-054,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0074,ORD-055,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0075,ORD-056,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0076,ORD-057,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0077,ORD-058,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0078,ORD-059,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0079,ORD-060,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0080,ORD-061,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0081,ORD-062,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0082,ORD-063,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0083,ORD-064,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0084,ORD-064,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0085,ORD-065,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0086,ORD-066,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0087,ORD-067,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0088,ORD-068,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0089,ORD-068,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0090,ORD-069,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0091,ORD-070,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0092,ORD-071,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0093,ORD-072,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0094,ORD-072,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0095,ORD-073,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0096,ORD-074,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0097,ORD-075,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0098,ORD-076,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0099,ORD-076,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0100,ORD-077,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0101,ORD-078,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0102,ORD-079,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0103,ORD-080,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0104,ORD-080,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0105,ORD-080,PROD-TRAIN,Training Package,1,0.00,0.00
ITEM-0106,ORD-081,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0107,ORD-082,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0108,ORD-083,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0109,ORD-084,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0110,ORD-084,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0111,ORD-085,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0112,ORD-086,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0113,ORD-087,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0114,ORD-088,PROD-ENT,Enterprise Plan Annual,1,8400.00,8400.00
ITEM-0115,ORD-089,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0116,ORD-089,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0117,ORD-090,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0118,ORD-090,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0119,ORD-091,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0120,ORD-091,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0121,ORD-092,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0122,ORD-092,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0123,ORD-093,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0124,ORD-093,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0125,ORD-094,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0126,ORD-094,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0127,ORD-095,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0128,ORD-095,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0129,ORD-096,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0130,ORD-096,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0131,ORD-097,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0132,ORD-097,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0133,ORD-098,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0134,ORD-098,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0135,ORD-099,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0136,ORD-099,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0137,ORD-100,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0138,ORD-100,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0139,ORD-101,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0140,ORD-101,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0141,ORD-102,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0142,ORD-102,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0143,ORD-103,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0144,ORD-103,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0145,ORD-104,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0146,ORD-104,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0147,ORD-105,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0148,ORD-105,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0149,ORD-106,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0150,ORD-106,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0151,ORD-107,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0152,ORD-107,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0153,ORD-108,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0154,ORD-108,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0155,ORD-109,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0156,ORD-109,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0157,ORD-110,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0158,ORD-110,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0159,ORD-111,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0160,ORD-111,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0161,ORD-112,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0162,ORD-112,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0163,ORD-113,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0164,ORD-113,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0165,ORD-114,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0166,ORD-114,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0167,ORD-115,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0168,ORD-116,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0169,ORD-117,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0170,ORD-118,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0171,ORD-119,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0172,ORD-120,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0173,ORD-121,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0174,ORD-122,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0175,ORD-123,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0176,ORD-124,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0177,ORD-125,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0178,ORD-126,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0179,ORD-127,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0180,ORD-128,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0181,ORD-129,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0182,ORD-130,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0183,ORD-131,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0184,ORD-132,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0185,ORD-133,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0186,ORD-134,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0187,ORD-135,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0188,ORD-136,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0189,ORD-137,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0190,ORD-138,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0191,ORD-139,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0192,ORD-140,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0193,ORD-141,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0194,ORD-142,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0195,ORD-143,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0196,ORD-144,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0197,ORD-145,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0198,ORD-146,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0199,ORD-147,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0200,ORD-148,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0201,ORD-149,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0202,ORD-150,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0203,ORD-151,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0204,ORD-152,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0205,ORD-153,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0206,ORD-154,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0207,ORD-155,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0208,ORD-156,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0209,ORD-157,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0210,ORD-158,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0211,ORD-159,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0212,ORD-160,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0213,ORD-161,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0214,ORD-162,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0215,ORD-163,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0216,ORD-164,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0217,ORD-165,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0218,ORD-165,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0219,ORD-166,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0220,ORD-167,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0221,ORD-168,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0222,ORD-169,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0223,ORD-169,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0224,ORD-170,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0225,ORD-171,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0226,ORD-172,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0227,ORD-173,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0228,ORD-173,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0229,ORD-174,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0230,ORD-175,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0231,ORD-176,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0232,ORD-177,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0233,ORD-177,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0234,ORD-178,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0235,ORD-179,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0236,ORD-180,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0237,ORD-181,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0238,ORD-181,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0239,ORD-182,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0240,ORD-183,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0241,ORD-184,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0242,ORD-185,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0243,ORD-185,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0244,ORD-186,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0245,ORD-186,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0246,ORD-187,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0247,ORD-187,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0248,ORD-188,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0249,ORD-188,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0250,ORD-189,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0251,ORD-189,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0252,ORD-190,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0253,ORD-190,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0254,ORD-191,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0255,ORD-191,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0256,ORD-192,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0257,ORD-192,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0258,ORD-193,PROD-ENT,Enterprise Plan Annual,1,16800.00,16800.00
ITEM-0259,ORD-193,PROD-IMPL,Implementation Services,1,0.00,0.00
ITEM-0260,ORD-194,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0261,ORD-195,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0262,ORD-196,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0263,ORD-197,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0264,ORD-198,PROD-FREE,Free Plan,1,99.00,99.00
ITEM-0265,ORD-199,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
ITEM-0266,ORD-200,PROD-PRO,Pro Plan Monthly,1,1250.00,1250.00
